date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:30	286427/286427	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Dec%202021%2010:21:01%20GMT	https://www.theiamedia.agency/	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/index.html	(from )
12:21:31	104/104	---MCZ	200	added ('OK')	text/plain	etag:W/%22098a825221638fc60c2f41c4578f8ec8%22	https://www.theiamedia.agency/robots.txt		(from )
12:21:31	6124/6124	---M--	200	added ('OK')	image/png	etag:%22add44600003d6099a73c130aa96bb4b6%22	https://www.theiamedia.agency/hubfs/map-ico-logo-theiamedia-color-1.png	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/hubfs/map-ico-logo-theiamedia-color-1.png	(from https://www.theiamedia.agency/)
12:21:31	93868/93868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ddb84c1587287b2df08966081ef063bf%22	https://www.theiamedia.agency/hs/hsstatic/jquery-libs/static-1.1/jquery/jquery-1.7.1.js	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/hs/hsstatic/jquery-libs/static-1.1/jquery/jquery-1.7.1.js	(from https://www.theiamedia.agency/)
12:21:32	910/910	---MCZ	200	added ('OK')	text/css	etag:W/%22e1b521ec14a912d6d385c21388ec7d79%22	https://www.theiamedia.agency/hs/hsstatic/AsyncSupport/static-1.94/sass/rss_post_listing.css	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/hs/hsstatic/AsyncSupport/static-1.94/sass/rss_post_listing.css	(from https://www.theiamedia.agency/)
12:21:32	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2001%20Dec%202021%2010:21:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.googletagmanager.com/gtm.35445.delayed	(from https://www.theiamedia.agency/)
12:21:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Dec%202021%2010:21:28%20GMT	http://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1638303680965/hubspot/hubspot_default/shared/responsive/layout.min.css	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1638303680965/hubspot/hubspot_default/shared/responsive/layout.min.4.delayed	(from https://www.theiamedia.agency/)
12:21:33	4638/4638	---MCZ	200	added ('OK')	text/css	etag:W/%220b0c633d59ab0af9553a98c0e7d97349%22	https://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1638303680965/hubspot/hubspot_default/shared/responsive/layout.min.css	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1638303680965/hubspot/hubspot_default/shared/responsive/layout.min.css	(from https://www.theiamedia.agency/)
12:21:33	347596/347596	---MCZ	200	added ('OK')	text/css	etag:W/%22b6ac6eea4dc3ca38f396ba714fecc346%22	https://www.theiamedia.agency/hs-fs/hub/5183040/hub_generated/template_assets/28764671800/1606936622165/Marketplace/Neambo/Act21/Coded_Files/Act21.min.css	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/hs-fs/hub/5183040/hub_generated/template_assets/28764671800/1606936622165/Marketplace/Neambo/Act21/Coded_Files/Act21.min.css	(from https://www.theiamedia.agency/)
12:21:35	129706/129706	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Dec%202021%2010:21:31%20GMT	https://www.theiamedia.agency/generated_global_groups/28789910856.html	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/generated_global_groups/28789910856.html	(from https://www.theiamedia.agency/)
12:21:35	5048/5048	---M--	200	added ('OK')	image/png	etag:%227be600eb3108f6fc46ea1e376ae157cd%22	https://www.theiamedia.agency/hs-fs/hubfs/TheiaNew.png?width=151&name=TheiaNew.png	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/hs-fs/hubfs/TheiaNew5635.png	(from https://www.theiamedia.agency/)
12:21:36	148462/148462	---MCZ	200	added ('OK')	text/html	etag:W/%22dd19059a629235b334134b4a59d137c5%22	https://www.theiamedia.agency/creative-and-ux	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/creative-and-ux.html	(from https://www.theiamedia.agency/)
12:21:37	146526/146526	---MCZ	200	added ('OK')	text/html	etag:W/%2251458ba0ec89be8121f4d8538be10c4b%22	https://www.theiamedia.agency/content-and-social-media	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/content-and-social-media.html	(from https://www.theiamedia.agency/)
12:21:38	149391/149391	---MCZ	200	added ('OK')	text/html	etag:W/%2256ea0098665e59b71136196ad68065b5%22	https://www.theiamedia.agency/seo-and-revenue-generation	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/seo-and-revenue-generation.html	(from https://www.theiamedia.agency/)
12:21:39	177634/177634	---MCZ	200	added ('OK')	text/html	etag:W/%228bb06cab5cc0e2a563c9d01e320faf7c%22	https://www.theiamedia.agency/about-us	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/about-us.html	(from https://www.theiamedia.agency/)
12:21:40	2529/2529	---M--	200	added ('OK')	image/png	etag:%22314a09f1dc32b0599ae2f5a81cdb7b9a%22	https://no-cache.hubspot.com/cta/default/5183040/4795f195-4234-426f-8756-67a684d6efca.png	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/no-cache.hubspot.com/cta/default/5183040/4795f195-4234-426f-8756-67a684d6efca.png	(from https://www.theiamedia.agency/)
12:21:40	15593/15593	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cfafba4e004c0a83b025f7c53b683b1c%22	https://www.theiamedia.agency/hs/cta/cta/current.js	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/hs/cta/cta/current.js	(from https://www.theiamedia.agency/)
12:21:41	199233/199233	---MCZ	200	added ('OK')	text/html	etag:W/%2282ba8f83b8c9f6b396c3edb64f516257%22	https://www.theiamedia.agency/web-design-services	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/web-design-services.html	(from https://www.theiamedia.agency/)
12:21:42	189744/189744	---MCZ	200	added ('OK')	text/html	etag:W/%22f93d7837ced073fda0bdc0fa352bdf54%22	https://www.theiamedia.agency/website-redesign-service	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/website-redesign-service.html	(from https://www.theiamedia.agency/)
12:21:43	183964/183964	---MCZ	200	added ('OK')	text/html	etag:W/%22b4ec96676322a1144d4c4a43b52e7123%22	https://www.theiamedia.agency/landing-page-design	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/landing-page-design.html	(from https://www.theiamedia.agency/)
12:21:44	184938/184938	---MCZ	200	added ('OK')	text/html	etag:W/%22739b5501d344dfc8d314bd92a02d9fc4%22	https://www.theiamedia.agency/email-marketing-services	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/email-marketing-services.html	(from https://www.theiamedia.agency/)
12:21:45	181573/181573	---MCZ	200	added ('OK')	text/html	etag:W/%2218d7e83735c4f7a354b5d71066d892d4%22	https://www.theiamedia.agency/lead-nurturing-services	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/lead-nurturing-services.html	(from https://www.theiamedia.agency/)
12:21:46	166474/166474	---MCZ	200	added ('OK')	text/html	etag:W/%22872b3b16c6e0af867876fadebad33d78%22	https://www.theiamedia.agency/ada-and-wcag-compliance	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/ada-and-wcag-compliance.html	(from https://www.theiamedia.agency/)
12:21:47	182118/182118	---MCZ	200	added ('OK')	text/html	etag:W/%22f71794ea70fb5b0884f7505323bb0355%22	https://www.theiamedia.agency/website-seo-copywriting	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/website-seo-copywriting.html	(from https://www.theiamedia.agency/)
12:21:48	195476/195476	---MCZ	200	added ('OK')	text/html	etag:W/%225cd1cdd8cf3220e65402092a62b7d9c5%22	https://www.theiamedia.agency/content-marketing-services	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/content-marketing-services.html	(from https://www.theiamedia.agency/)
12:21:49	175918/175918	---MCZ	200	added ('OK')	text/html	etag:W/%223af4d7207c6560c6cdb60227689858f9%22	https://www.theiamedia.agency/social-media-design	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/social-media-design.html	(from https://www.theiamedia.agency/)
12:21:50	184144/184144	---MCZ	200	added ('OK')	text/html	etag:W/%2215f1ae69b9a62c16d1fc95ba9eebc97f%22	https://www.theiamedia.agency/social-media-advertising-services	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/social-media-advertising-services.html	(from https://www.theiamedia.agency/)
12:21:51	193035/193035	---MCZ	200	added ('OK')	text/html	etag:W/%22bb3aa89a451426a34c901dc5e381d031%22	https://www.theiamedia.agency/seo-services	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/seo-services.html	(from https://www.theiamedia.agency/)
12:21:51	193314/193314	---MCZ	200	added ('OK')	text/html	etag:W/%229bbb2b1eb619cdcb778db674ffcff38f%22	https://www.theiamedia.agency/local-seo-services	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/local-seo-services.html	(from https://www.theiamedia.agency/)
12:21:53	191043/191043	---MCZ	200	added ('OK')	text/html	etag:W/%224865f8fd0a6f0dbca5931029d358f865%22	https://www.theiamedia.agency/ppc-management	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/ppc-management.html	(from https://www.theiamedia.agency/)
12:21:54	194614/194614	---MCZ	200	added ('OK')	text/html	etag:W/%2291a5f0baab2bd84e1b152c7b272a4677%22	https://www.theiamedia.agency/geofence-advertising	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/geofence-advertising.html	(from https://www.theiamedia.agency/)
12:21:55	189412/189412	---MCZ	200	added ('OK')	text/html	etag:W/%22891adda932730e0e318e7fbacdabada3%22	https://www.theiamedia.agency/conversion-rate-optimization	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/conversion-rate-optimization.html	(from https://www.theiamedia.agency/)
12:21:56	175767/175767	---MCZ	200	added ('OK')	text/html	etag:W/%2268dbe8d03a06ae71d6a35a4570463844%22	https://www.theiamedia.agency/page-speed-optimization	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/page-speed-optimization.html	(from https://www.theiamedia.agency/)
12:21:57	186521/186521	---MCZ	200	added ('OK')	text/html	etag:W/%221e1e8d19eb6b0e06319ea7898ceac989%22	https://www.theiamedia.agency/resources	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/resources.html	(from https://www.theiamedia.agency/)
12:21:58	153813/153813	---MCZ	200	added ('OK')	text/html	etag:W/%22e03bfb9cc9223adecdc87c0649d4f4ac%22	https://www.theiamedia.agency/customer-support	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/customer-support.html	(from https://www.theiamedia.agency/)
12:21:59	148429/148429	---MCZ	200	added ('OK')	text/html	etag:W/%2288b75124959bc1c53d1f3bc7061289d2%22	https://www.theiamedia.agency/who-we-help	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/who-we-help.html	(from https://www.theiamedia.agency/)
12:22:01	192169/192169	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Dec%202021%2010:21:57%20GMT	https://www.theiamedia.agency/blog	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/blog.html	(from https://www.theiamedia.agency/)
12:22:02	140474/140474	---MCZ	200	added ('OK')	text/html	etag:W/%229ea1a03e1fabf19d581ad61eb62b11ea%22	https://www.theiamedia.agency/careers	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/careers.html	(from https://www.theiamedia.agency/)
12:22:03	129707/129707	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Dec%202021%2010:21:59%20GMT	https://www.theiamedia.agency/generated_global_groups/28765508454.html	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/generated_global_groups/28765508454.html	(from https://www.theiamedia.agency/)
12:22:04	4992/4992	---M--	200	added ('OK')	image/png	etag:%2283da1a1ff75a4cfa1fbf9dfcf61a9e74%22	https://www.theiamedia.agency/hs-fs/hubfs/TheiaNew.png?width=150&name=TheiaNew.png	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/hs-fs/hubfs/TheiaNewea29.png	(from https://www.theiamedia.agency/)
12:22:05	189266/189266	---MCZ	200	added ('OK')	text/html	etag:W/%22e62359b29427dce9e5604ab499ee9f58%22	https://www.theiamedia.agency/law-firm-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/law-firm-marketing.html	(from https://www.theiamedia.agency/)
12:22:06	194574/194574	---MCZ	200	added ('OK')	text/html	etag:W/%22e7032af60ee0f7fc4ddbbbf37e2b5153%22	https://www.theiamedia.agency/personal-injury-law-firm-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/personal-injury-law-firm-marketing.html	(from https://www.theiamedia.agency/)
12:22:07	193488/193488	---MCZ	200	added ('OK')	text/html	etag:W/%227b0ec832629bcd4a8808b63e9f789a10%22	https://www.theiamedia.agency/criminal-defense-firm-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/criminal-defense-firm-marketing.html	(from https://www.theiamedia.agency/)
12:22:08	193932/193932	---MCZ	200	added ('OK')	text/html	etag:W/%2223fbc1807ff7a5da1704b8490365f101%22	https://www.theiamedia.agency/family-law-firm-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/family-law-firm-marketing.html	(from https://www.theiamedia.agency/)
12:22:09	194066/194066	---MCZ	200	added ('OK')	text/html	etag:W/%220f93fcbf3b94612519eafdc3a53c9180%22	https://www.theiamedia.agency/estate-and-probate-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/estate-and-probate-marketing.html	(from https://www.theiamedia.agency/)
12:22:11	189680/189680	---MCZ	200	added ('OK')	text/html	etag:W/%22283c48cc05b82e0e3634736e98e5939c%22	https://www.theiamedia.agency/home-service-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/home-service-marketing.html	(from https://www.theiamedia.agency/)
12:22:12	195639/195639	---MCZ	200	added ('OK')	text/html	etag:W/%2207d714be4dc7c0590c921537e6091156%22	https://www.theiamedia.agency/hvac	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/hvac.html	(from https://www.theiamedia.agency/)
12:22:13	194175/194175	---MCZ	200	added ('OK')	text/html	etag:W/%22e86d9156ab58fe48b90c90737da81c37%22	https://www.theiamedia.agency/plumbing-service-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/plumbing-service-marketing.html	(from https://www.theiamedia.agency/)
12:22:14	194262/194262	---MCZ	200	added ('OK')	text/html	etag:W/%229e98f08e7e15d21498fad4f8b67fbb7c%22	https://www.theiamedia.agency/electrical-service-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/electrical-service-marketing.html	(from https://www.theiamedia.agency/)
12:22:15	194144/194144	---MCZ	200	added ('OK')	text/html	etag:W/%22596f4caaeb54e75bc2472cfd621901c6%22	https://www.theiamedia.agency/roofing-service-marketing	C:/Users/Keks/Desktop/https___www.theiamedia.agency_/www.theiamedia.agency/roofing-service-marketing.html	(from https://www.theiamedia.agency/)
